Date/Time,ActivePower,WindSpeed,Power,WindDirection,Time,TimeDiff,Gust
24 01 2018 05:00,0,9.352516174,2373.262858,25.69046974,0,-50,0.148273468
24 01 2018 05:10,0,9.443710327,2433.040025,27.41296959,10,10,0.091194153
24 01 2018 05:20,0,9.24344635,2301.96296,29.21361923,20,10,-0.200263977
24 01 2018 05:30,0,10.34611988,2989.198024,27.60391998,30,10,1.102673531
24 01 2018 05:40,0,9.436612129,2428.383113,30.23201942,40,10,-0.909507751
24 01 2018 05:50,0,9.823722839,2677.535896,31.64289093,50,10,0.38711071
24 01 2018 06:00,183.9515076,10.62588978,3123.720094,29.82191086,0,-50,0.802166939
24 01 2018 06:10,0,9.885891914,2719.087221,31.44548988,10,10,-0.739997864
24 01 2018 06:20,0,9.73107338,2613.228755,30.70038033,20,10,-0.154818535
24 01 2018 06:30,0,8.809332848,2021.876127,27.30821037,30,10,-0.921740532
24 01 2018 06:40,0,8.862268448,2055.607921,30.29875946,40,10,0.0529356
24 01 2018 06:50,0,8.189011574,1640.021814,39.83877182,50,10,-0.673256874
24 01 2018 07:00,0,10.13749981,2874.674486,23.29470062,0,-50,1.948488235
24 01 2018 07:10,0,9.568508148,2493.266423,26.76399994,10,10,-0.568991661
24 01 2018 07:20,0,9.348604202,2370.701484,28.49369049,20,10,-0.219903946
24 01 2018 07:30,0,9.191914558,2268.372158,29.8633194,30,10,-0.156689644
24 01 2018 07:40,0,9.559497833,2486.34449,25.69776917,40,10,0.367583275
24 01 2018 07:50,0,9.040950775,2170.423109,26.56790924,50,10,-0.518547058
24 01 2018 08:00,0,9.744865417,2622.985111,27.85539055,0,-50,0.703914642
24 01 2018 08:10,0,9.513629913,2450.653278,22.85503006,10,10,-0.231235504
24 01 2018 08:20,0,10.12907982,2869.7837,31.13166046,20,10,0.615449905
24 01 2018 08:30,0,9.208964348,2279.47828,27.45656967,30,10,-0.920115471
24 01 2018 08:40,0,10.22430038,2923.86268,29.04692078,40,10,1.015336037
24 01 2018 08:50,0,10.28151035,2955.075657,39.55976868,50,10,0.057209969
24 01 2018 09:00,0,10.69340038,3153.098404,39.57852936,0,-50,0.41189003
24 01 2018 09:10,0,10.4660902,3049.465429,37.20203018,10,10,-0.227310181
24 01 2018 09:20,0,9.816235542,2672.445776,40.39704895,20,10,-0.64985466
24 01 2018 09:30,0,8.196567535,1644.491324,45.42869949,30,10,-1.619668007
24 01 2018 09:40,0,10.77124023,3185.549608,35.70317078,40,10,2.574672699
24 01 2018 09:50,0,10.22255039,2922.89293,33.28826904,50,10,-0.548689842
24 01 2018 10:00,0,10.15015984,2881.98808,35.96371078,0,-50,-0.072390556
24 01 2018 10:10,0,9.901500702,2729.321304,28.32512093,10,10,-0.248659134
24 01 2018 10:20,0,9.850370407,2695.501432,30.60794067,20,10,-0.051130295
24 01 2018 10:30,0,9.308558464,2344.497685,31.55808067,30,10,-0.541811943
24 01 2018 10:40,0,9.551112175,2479.8762,32.90948105,40,10,0.242553711
24 01 2018 10:50,0,10.81735039,3204.068794,31.83542061,50,10,1.266238213
24 01 2018 11:00,0,10.2699604,2948.850333,28.19823074,0,-50,-0.547389984
24 01 2018 11:10,0,9.821756363,2676.200818,39.53047943,10,10,-0.448204041
24 01 2018 11:20,0,9.631617546,2540.936785,30.83934021,20,10,-0.190138817
24 01 2018 11:30,0,9.793242455,2656.697724,29.1685009,30,10,0.161624908
24 01 2018 11:40,0,9.470323563,2450.505179,29.78782082,40,10,-0.322918892
24 01 2018 11:50,0,9.29473877,2335.462144,23.23333931,50,10,-0.175584793
24 01 2018 12:00,0,9.953780174,2763.027328,23.11271095,0,-50,0.659041405
24 01 2018 12:10,0,9.645496368,2551.231417,22.14219093,10,10,-0.308283806
24 01 2018 12:20,0,9.685594559,2580.596288,21.32085991,20,10,0.04009819
24 01 2018 12:30,0,10.66110992,3139.191306,19.78606033,30,10,0.975515366
24 01 2018 12:40,0,9.135839462,2231.903746,24.02545929,40,10,-1.525270462
24 01 2018 12:50,0,9.980690002,2780.037019,23.91080093,50,10,0.84485054
24 01 2018 13:00,0,10.38774014,3010.556399,37.57463837,0,-50,0.407050133
24 01 2018 13:10,0,10.45238018,3042.777978,35.24998093,10,10,0.064640045
24 01 2018 13:20,0,10.86347008,3222.077151,41.11679077,20,10,0.411089897
24 01 2018 13:30,0,10.00553989,2795.541743,38.32379913,30,10,-0.857930183
24 01 2018 13:40,0,9.542471886,2473.184974,37.18154144,40,10,-0.463068008
24 01 2018 13:50,0,10.86021996,3220.824777,40.50799942,50,10,1.31774807
24 01 2018 14:00,0,10.58318996,3104.535266,26.27013016,0,-50,-0.277029991
24 01 2018 14:10,0,11.04582977,3288.384166,24.25849915,10,10,0.462639809
24 01 2018 14:20,0,10.11635017,2862.349101,28.91341019,20,10,-0.929479599
24 01 2018 14:30,0,9.565741539,2491.144152,27.20396996,30,10,-0.550608635
24 01 2018 14:40,0,10.38237,3007.827712,26.39949036,40,10,0.816628456
24 01 2018 14:50,0,11.11252022,3310.73932,28.03117943,50,10,0.730150223
24 01 2018 15:00,0,11.68223,3463.647941,40.34281158,0,-50,0.569709778
24 01 2018 15:10,0,10.80755997,3200.179951,41.55271912,10,10,-0.874670029
24 01 2018 15:20,0,11.06109047,3293.587338,46.07987976,20,10,0.253530502
24 01 2018 15:30,0,10.15466022,2884.576363,40.97026062,30,10,-0.906430244
24 01 2018 15:40,0,9.816231728,2672.443178,44.34529114,40,10,-0.338428497
24 01 2018 15:50,0,9.668741226,2568.322344,35.51107025,50,10,-0.147490501
24 01 2018 16:00,0,9.804758072,2664.60684,47.22077942,0,-50,0.136016846
24 01 2018 16:10,0,9.816525459,2672.643217,46.15896988,10,10,0.011767387
24 01 2018 16:20,0,10.67926979,3147.044979,43.96187973,20,10,0.862744331
24 01 2018 16:30,0,10.51978016,3075.166949,34.15304184,30,10,-0.159489632
24 01 2018 16:40,0,8.968121529,2123.460739,36.17818069,40,10,-1.55165863
24 01 2018 16:50,0,10.02223015,2805.846805,28.19005966,50,10,1.05410862
24 01 2018 17:00,0,10.41549969,3024.534447,35.58898163,0,-50,0.393269539
24 01 2018 17:10,0,12.3264904,3563.832948,38.73295975,10,10,1.910990715
24 01 2018 17:20,0,10.87810993,3227.687151,32.16408157,20,10,-1.44838047
24 01 2018 17:30,0,11.44511032,3407.958184,29.14558029,30,10,0.567000389
24 01 2018 17:40,0,10.17531967,2896.380657,30.41930962,40,10,-1.269790649
24 01 2018 17:50,0,9.628113747,2538.327137,30.59679985,50,10,-0.547205925
24 01 2018 18:00,0,9.765453339,2637.428711,28.40728951,0,-50,0.137339592
24 01 2018 18:10,0,10.22926998,2926.611683,41.31655121,10,10,0.463816643
24 01 2018 18:20,0,9.728624344,2611.489556,41.24422073,20,10,-0.500645638
24 01 2018 18:30,0,11.17224026,3329.924255,40.26322174,30,10,1.443615913
24 01 2018 18:40,0,11.80714035,3488.722562,43.61051941,40,10,0.634900093
24 01 2018 18:50,0,10.62576008,3123.662534,40.07809067,50,10,-1.181380272
24 01 2018 19:00,0,10.32740974,2979.438308,42.13899994,0,-50,-0.298350334
24 01 2018 19:10,0,9.525265694,2459.779657,42.38311005,10,10,-0.802144051
24 01 2018 19:20,0,9.634257317,2542.900047,42.52846909,20,10,0.108991623
24 01 2018 19:30,0,9.04023838,2169.962736,42.08779144,30,10,-0.594018936
24 01 2018 19:40,0,9.73503685,2616.039107,43.51047897,40,10,0.69479847
24 01 2018 19:50,0,10.09272003,2848.418229,47.11328888,50,10,0.357683182
24 01 2018 20:00,0,8.837425232,2039.759633,38.85089111,0,-50,-1.2552948
24 01 2018 20:10,0,9.464262962,2446.5272,34.20687103,10,10,0.62683773
24 01 2018 20:20,0,10.22017956,2921.577717,33.82078171,20,10,0.755916595
24 01 2018 20:30,0,10.80383015,3198.692317,32.67811966,30,10,0.583650589
24 01 2018 20:40,0,11.51716042,3426.03181,46.40290833,40,10,0.713330269
24 01 2018 20:50,0,9.49435997,2466.285329,40.41117859,50,10,-2.022800446
